CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment,Cluster,SegmentLabel
12346,326,2,0,1,3,1,131,5,Potential,2,Churned
12347,2,7,4310,5,5,5,555,15,Champions,0,Low-Value
12348,75,4,1797.24,3,4,4,344,11,Champions,0,Low-Value
12349,19,1,1757.55,4,1,4,414,9,Champions,0,Low-Value
12350,310,1,334.4,1,1,2,112,4,At Risk,2,Churned
12352,36,11,1545.41,4,5,4,454,13,Champions,0,Low-Value
12353,204,1,89,2,1,1,211,4,At Risk,2,Churned
12354,232,1,1079.4,1,1,4,114,6,Potential,2,Churned
12355,214,1,459.4,2,1,3,213,6,Potential,2,Churned
12356,23,3,2811.43,4,3,5,435,12,Champions,0,Low-Value
12357,33,1,6207.67,4,1,5,415,10,Champions,0,Low-Value
12358,2,2,1168.06,5,3,4,534,12,Champions,0,Low-Value
12359,8,6,6245.53,5,5,5,555,15,Champions,0,Low-Value
12360,52,3,2662.06,3,3,5,335,11,Champions,0,Low-Value
12361,287,1,189.9,1,1,2,112,4,At Risk,2,Churned
12362,3,13,5154.58,5,5,5,555,15,Champions,0,Low-Value
12363,110,2,552,2,3,3,233,8,Loyal,0,Low-Value
12364,8,4,1313.1,5,4,4,544,13,Champions,0,Low-Value
12365,291,3,320.69,1,3,2,132,6,Potential,2,Churned
12367,4,1,168.9,5,1,2,512,8,Loyal,0,Low-Value
12370,51,4,3545.69,3,4,5,345,12,Champions,0,Low-Value
12371,45,2,1887.96,3,3,4,334,10,Champions,0,Low-Value
12372,72,3,1298.04,3,3,4,334,10,Champions,0,Low-Value
12373,311,1,364.6,1,1,3,113,5,Potential,2,Churned
12374,25,1,742.93,4,1,3,413,8,Loyal,0,Low-Value
12375,3,3,455.42,5,3,3,533,11,Champions,0,Low-Value
12377,315,2,1628.12,1,3,4,134,8,Loyal,2,Churned
12378,130,1,4008.62,2,1,5,215,8,Loyal,0,Low-Value
12379,82,3,850.29,3,3,4,334,10,Champions,0,Low-Value
12380,22,5,2720.56,4,4,5,445,13,Champions,0,Low-Value
12381,5,6,1803.96,5,5,4,554,14,Champions,0,Low-Value
12383,185,6,1839.31,2,5,4,254,11,Champions,2,Churned
12384,29,3,566.16,4,3,3,433,10,Champions,0,Low-Value
12386,338,2,401.9,1,3,3,133,7,Loyal,2,Churned
12388,16,6,2780.66,5,5,5,555,15,Champions,0,Low-Value
12390,80,1,549.84,3,1,3,313,7,Loyal,0,Low-Value
12391,22,1,460.89,4,1,3,413,8,Loyal,0,Low-Value
12393,72,4,1582.6,3,4,4,344,11,Champions,0,Low-Value
12394,64,2,1272.48,3,3,4,334,10,Champions,0,Low-Value
12395,16,15,2998.28,5,5,5,555,15,Champions,0,Low-Value
12397,36,2,2409.9,4,3,5,435,12,Champions,0,Low-Value
12398,46,1,1635.66,3,1,4,314,8,Loyal,0,Low-Value
12399,119,4,1108.65,2,4,4,244,10,Champions,0,Low-Value
12401,303,1,84.3,1,1,1,111,3,At Risk,2,Churned
12402,323,1,225.6,1,1,2,112,4,At Risk,2,Churned
12403,50,2,409.7,3,3,3,333,9,Champions,0,Low-Value
12405,149,1,1710.39,2,1,4,214,7,Loyal,0,Low-Value
12406,22,3,3280.75,4,3,5,435,12,Champions,0,Low-Value
12407,50,5,1708.12,3,4,4,344,11,Champions,0,Low-Value
12408,33,9,2842.57,4,5,5,455,14,Champions,0,Low-Value
12409,79,7,11056.93,3,5,5,355,13,Champions,0,Low-Value
12410,301,3,681.08,1,3,3,133,7,Loyal,2,Churned
12412,75,3,1226.88,3,3,4,334,10,Champions,0,Low-Value
12413,67,5,694.15,3,4,3,343,10,Champions,0,Low-Value
12414,217,3,562.41,2,3,3,233,8,Loyal,2,Churned
12415,24,26,123725.45,4,5,5,455,14,Champions,1,High-Value
12417,3,12,3578.8,5,5,5,555,15,Champions,0,Low-Value
12418,113,1,668.58,2,1,3,213,6,Potential,0,Low-Value
12420,64,1,600.39,3,1,3,313,7,Loyal,0,Low-Value
12421,16,5,806.27,5,4,4,544,13,Champions,0,Low-Value
12422,96,3,803.56,3,3,4,334,10,Champions,0,Low-Value
12423,1,9,1849.11,5,5,4,554,14,Champions,0,Low-Value
12424,163,2,1760.96,2,3,4,234,9,Champions,2,Churned
12425,78,1,777.2,3,1,3,313,7,Loyal,0,Low-Value
12426,195,1,582.73,2,1,3,213,6,Potential,2,Churned
12427,12,5,708.37,5,4,3,543,12,Champions,0,Low-Value
12428,26,12,7877.2,4,5,5,455,14,Champions,0,Low-Value
12429,9,4,3750.4,5,4,5,545,14,Champions,0,Low-Value
12430,43,1,256.4,4,1,2,412,7,Loyal,0,Low-Value
12431,36,18,6416.39,4,5,5,455,14,Champions,3,Promising
12432,43,5,5059.32,4,4,5,445,13,Champions,0,Low-Value
12433,1,7,13375.87,5,5,5,555,15,Champions,0,Low-Value
12434,85,4,765.19,3,4,3,343,10,Champions,0,Low-Value
12435,80,2,7829.89,3,3,5,335,11,Champions,0,Low-Value
12436,100,1,509.01,3,1,3,313,7,Loyal,0,Low-Value
12437,2,19,4896.66,5,5,5,555,15,Champions,3,Promising
12438,14,2,2906.85,5,3,5,535,13,Champions,0,Low-Value
12441,367,1,173.55,1,1,2,112,4,At Risk,2,Churned
12442,3,1,172.06,5,1,2,512,8,Loyal,0,Low-Value
12444,21,5,5005.46,4,4,5,445,13,Champions,0,Low-Value
12445,22,1,133.4,4,1,2,412,7,Loyal,0,Low-Value
12446,58,1,1002.31,3,1,4,314,8,Loyal,0,Low-Value
12447,243,1,476.49,1,1,3,113,5,Potential,2,Churned
12448,44,1,449.45,4,1,3,413,8,Loyal,0,Low-Value
12449,22,4,4067.29,4,4,5,445,13,Champions,0,Low-Value
12450,156,2,197.88,2,3,2,232,7,Loyal,2,Churned
12451,11,6,8933.52,5,5,5,555,15,Champions,0,Low-Value
12452,17,3,428.57,5,3,3,533,11,Champions,0,Low-Value
12453,134,1,707.09,2,1,3,213,6,Potential,0,Low-Value
12454,53,2,-5.68E-14,3,3,1,331,7,Loyal,0,Low-Value
12455,73,6,2466.86,3,5,5,355,13,Champions,0,Low-Value
12456,44,4,3153.89,4,4,5,445,13,Champions,0,Low-Value
12457,58,12,1917.78,3,5,4,354,12,Champions,0,Low-Value
12458,71,2,947.4,3,3,4,334,10,Champions,0,Low-Value
12461,94,2,826.88,3,3,4,334,10,Champions,0,Low-Value
12462,2,4,1124.01,5,4,4,544,13,Champions,0,Low-Value
12463,46,7,1303.63,3,5,4,354,12,Champions,0,Low-Value
12464,10,8,1212.05,5,5,4,554,14,Champions,0,Low-Value
12465,8,3,733.89,5,4,3,543,12,Champions,0,Low-Value
12468,143,3,724.04,2,4,3,243,9,Champions,0,Low-Value
12471,2,49,18740.92,5,5,5,555,15,Champions,3,Promising
12472,31,13,6229.48,4,5,5,455,14,Champions,0,Low-Value
12473,29,9,2848.23,4,5,5,455,14,Champions,0,Low-Value
12474,17,30,7116.47,5,5,5,555,15,Champions,3,Promising
12475,54,1,723.38,3,1,3,313,7,Loyal,0,Low-Value
12476,1,20,6546.58,5,5,5,555,15,Champions,3,Promising
12477,23,9,13117.01,4,5,5,455,14,Champions,0,Low-Value
12478,4,1,680.99,5,1,3,513,9,Champions,0,Low-Value
12479,4,3,477.3,5,4,3,543,12,Champions,0,Low-Value
12480,28,4,3281.63,4,4,5,445,13,Champions,0,Low-Value
12481,23,11,5590.86,4,5,5,455,14,Champions,0,Low-Value
12483,17,13,2327.13,5,5,5,555,15,Champions,0,Low-Value
12484,33,8,4495.27,4,5,5,455,14,Champions,0,Low-Value
12488,10,3,1298.66,5,4,4,544,13,Champions,0,Low-Value
12489,336,1,334.93,1,1,2,112,4,At Risk,2,Churned
12490,5,10,5417.93,5,5,5,555,15,Champions,0,Low-Value
12491,39,1,460.4,4,1,3,413,8,Loyal,0,Low-Value
12492,63,2,263.21,3,3,2,332,8,Loyal,0,Low-Value
